Animal,Height (cm),Weight (kg),Lifespan (years),Diet,Habitat,Average Speed (km/h),Countries Found,Conservation Status,Gestation Period (days),Social Structure,Offspring per Birth,Country,At_Risk
Alpine Ibex,84.0,69.5,17.5,Herbivore,"Mountains, Alpine",60.0,European Alps,Least Concern,150.0,Group-based,1.0,,False
Amazon Rainforest Frog,7.5,,10.5,Insectivore,Amazon Rainforest,0.55,Amazon Rainforest,Not Evaluated,12.5,Solitary,,Brazil,False
Amazon Rainforest Frog,7.5,,10.5,Insectivore,Amazon Rainforest,0.55,Amazon Rainforest,Not Evaluated,12.5,Solitary,,Colombia,False
Amazon Rainforest Frog,7.5,,10.5,Insectivore,Amazon Rainforest,0.55,Amazon Rainforest,Not Evaluated,12.5,Solitary,,Peru,False
Amazon Rainforest Frog,7.5,,10.5,Insectivore,Amazon Rainforest,0.55,Amazon Rainforest,Not Evaluated,12.5,Solitary,,Ecuador,False
Amazon Rainforest Frog,7.5,,10.5,Insectivore,Amazon Rainforest,0.55,Amazon Rainforest,Not Evaluated,12.5,Solitary,,Bolivia,False
American Bison,169.0,,17.5,Herbivore,"Grasslands, Plains",48.0,North America,Near Threatened,280.0,Group-based,1.0,United States of America,False
American Bison,169.0,,17.5,Herbivore,"Grasslands, Plains",48.0,North America,Near Threatened,280.0,Group-based,1.0,Canada,False
American Bison,169.0,,17.5,Herbivore,"Grasslands, Plains",48.0,North America,Near Threatened,280.0,Group-based,1.0,Mexico,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Brazil,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Colombia,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Peru,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Ecuador,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Argentina,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Chile,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Venezuela,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Paraguay,False
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Central and South America,Least Concern,200.0,Solitary,1.0,Bolivia,False
Arabian Horse,150.0,690.0,27.5,Herbivore,"Middle East, North Africa",65.0,"Middle East, North Africa",Not Applicable,336.0,Herd-based,1.0,,False
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Saudi Arabia,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,United Arab Emirates,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Qatar,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Jordan,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Iraq,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Iran,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Syria,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Lebanon,True
Arabian Oryx,80.0,77.5,15.0,Herbivore,Desert,55.0,Middle East,Vulnerable,225.0,Herd-based,1.0,Israel,True
Arctic Fox,27.5,5.75,4.5,Omnivore,Tundra,60.0,Arctic regions,Least Concern,56.0,Solitary,7.5,Greenland,False
Arctic Fox,27.5,5.75,4.5,Omnivore,Tundra,60.0,Arctic regions,Least Concern,56.0,Solitary,7.5,Canada,False
Arctic Fox,27.5,5.75,4.5,Omnivore,Tundra,60.0,Arctic regions,Least Concern,56.0,Solitary,7.5,Norway,False
Arctic Fox,27.5,5.75,4.5,Omnivore,Tundra,60.0,Arctic regions,Least Concern,56.0,Solitary,7.5,Russia,False
Arowana,,,15.0,"Carnivore, Piscivore","Freshwater Rivers, Lakes",24.0,"South America, Asia",Not Evaluated,,Solitary,,,False
Asian Elephant,250.0,3500.0,70.0,Herbivore,"Grasslands, Forests",40.0,Asia (Southeast),Endangered,650.0,Herd-based,1.0,Indonesia,True
Asian Elephant,250.0,3500.0,70.0,Herbivore,"Grasslands, Forests",40.0,Asia (Southeast),Endangered,650.0,Herd-based,1.0,Thailand,True
Asian Elephant,250.0,3500.0,70.0,Herbivore,"Grasslands, Forests",40.0,Asia (Southeast),Endangered,650.0,Herd-based,1.0,Philippines,True
Asian Elephant,250.0,3500.0,70.0,Herbivore,"Grasslands, Forests",40.0,Asia (Southeast),Endangered,650.0,Herd-based,1.0,Vietnam,True
Asian Elephant,250.0,3500.0,70.0,Herbivore,"Grasslands, Forests",40.0,Asia (Southeast),Endangered,650.0,Herd-based,1.0,Malaysia,True
Atlantic Puffin,27.5,560.0,22.5,"Carnivore, Piscivore","North Atlantic, Arctic",40.0,"North Atlantic, Arctic",Vulnerable,40.0,Colony-based,1.0,Greenland,True
Atlantic Puffin,27.5,560.0,22.5,"Carnivore, Piscivore","North Atlantic, Arctic",40.0,"North Atlantic, Arctic",Vulnerable,40.0,Colony-based,1.0,Iceland,True
Atlantic Puffin,27.5,560.0,22.5,"Carnivore, Piscivore","North Atlantic, Arctic",40.0,"North Atlantic, Arctic",Vulnerable,40.0,Colony-based,1.0,Canada,True
Atlantic Spotted Dolphin,225.0,130.0,22.5,Carnivore,"Oceans, Coastal Areas",52.0,Worldwide,Least Concern,370.0,Group-based,1.0,Global,False
Australian Fur Seal,136.0,29.0,15.5,Carnivore,Coastal Waters,32.0,"Australia, New Zealand",Least Concern,325.0,Group-based,1.0,Australia,False
Australian Fur Seal,136.0,29.0,15.5,Carnivore,Coastal Waters,32.0,"Australia, New Zealand",Least Concern,325.0,Group-based,1.0,New Zealand,False
Axolotl,,,12.5,Carnivore,"Lakes, Canals",0.8,Mexico,Critically Endangered,17.5,Solitary,200.0,,True
Aye-Aye,36.0,2.45,21.5,"Omnivore, Insectivore",Rainforests,32.0,Madagascar,Endangered,165.0,Solitary,1.0,,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Brazil,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Colombia,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Peru,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Ecuador,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Argentina,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Chile,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Venezuela,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Paraguay,True
Baird's Tapir,91.5,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,Central and South America,Endangered,392.5,Solitary,1.0,Bolivia,True
Bald Eagle,86.0,4.5,25.0,Carnivore,"Forests, Lakes, Coasts",120.0,North America,Least Concern,35.0,Solitary,2.0,United States of America,False
Bald Eagle,86.0,4.5,25.0,Carnivore,"Forests, Lakes, Coasts",120.0,North America,Least Concern,35.0,Solitary,2.0,Canada,False
Bald Eagle,86.0,4.5,25.0,Carnivore,"Forests, Lakes, Coasts",120.0,North America,Least Concern,35.0,Solitary,2.0,Mexico,False
Banded Palm Civet,56.0,3.5,8.5,Omnivore,Forests,16.0,"Southeast Asia, South Asia",Least Concern,62.0,Solitary,3.5,,False
Barbary Macaque,,9.0,,"Herbivore, Omnivore","Forests, Mountains",30.0,"Gibraltar, North Africa, Middle East",Endangered,182.5,Group-based,1.0,,True
Basking Shark,,550.0,22.5,Carnivore,Oceans,21.0,Worldwide,Vulnerable,,Solitary,3.0,Global,True
Bearded Dragon,,,10.5,Omnivore,"Deserts, Woodlands",52.0,Australia,Not Evaluated,55.0,Solitary,,,False
Bengal Fox,37.5,3.25,7.0,Omnivore,Grasslands,40.0,"India, Nepal, Bhutan",Least Concern,55.0,Solitary,3.5,,False
Bengal Tiger,100.0,240.0,12.5,Carnivore,"Grasslands, Mangroves",65.0,"India, Bangladesh, Nepal",Endangered,105.0,Solitary,3.0,,True
Black Rhinoceros,156.0,,42.5,Herbivore,"Grasslands, Forests",56.0,Eastern and Southern Africa,Critically Endangered,465.0,Solitary,1.0,Kenya,True
Black Rhinoceros,156.0,,42.5,Herbivore,"Grasslands, Forests",56.0,Eastern and Southern Africa,Critically Endangered,465.0,Solitary,1.0,Tanzania,True
Black Rhinoceros,156.0,,42.5,Herbivore,"Grasslands, Forests",56.0,Eastern and Southern Africa,Critically Endangered,465.0,Solitary,1.0,Uganda,True
Black Rhinoceros,156.0,,42.5,Herbivore,"Grasslands, Forests",56.0,Eastern and Southern Africa,Critically Endangered,465.0,Solitary,1.0,South Africa,True
Black Rhinoceros,156.0,,42.5,Herbivore,"Grasslands, Forests",56.0,Eastern and Southern Africa,Critically Endangered,465.0,Solitary,1.0,Zimbabwe,True
Black Rhinoceros,156.0,,42.5,Herbivore,"Grasslands, Forests",56.0,Eastern and Southern Africa,Critically Endangered,465.0,Solitary,1.0,Mozambique,True
Black Rhinoceros,156.0,,42.5,Herbivore,"Grasslands, Forests",56.0,Eastern and Southern Africa,Critically Endangered,465.0,Solitary,1.0,Botswana,True
Blobfish,,,,Carnivore,Deep-sea,,"Australia, New Zealand, Tasmania",Vulnerable,,Solitary,,Australia,True
Blobfish,,,,Carnivore,Deep-sea,,"Australia, New Zealand, Tasmania",Vulnerable,,Solitary,,New Zealand,True
Blobfish,,,,Carnivore,Deep-sea,,Deep-sea regions,Vulnerable,,Solitary,,,True
Blue Jay,26.0,0.095,10.5,Omnivore,"Forests, Urban Areas",32.0,North America,Least Concern,17.5,Flocks,4.0,United States of America,False
Blue Jay,26.0,0.095,10.5,Omnivore,"Forests, Urban Areas",32.0,North America,Least Concern,17.5,Flocks,4.0,Canada,False
Blue Jay,26.0,0.095,10.5,Omnivore,"Forests, Urban Areas",32.0,North America,Least Concern,17.5,Flocks,4.0,Mexico,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Brazil,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Colombia,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Peru,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Ecuador,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Argentina,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Chile,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Venezuela,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Paraguay,False
Blue Morpho Butterfly,,,,Herbivore,Rainforests,,Central and South America,Not Evaluated,,Solitary,,Bolivia,False
Blue Whale,,,80.0,Filter Feeder,Oceans,40.0,Oceans worldwide,Endangered,,Solitary,1.0,Global,True
Blue-Footed Booby,83.0,2.25,14.5,Piscivore,Coastal Areas,30.0,Eastern Pacific (GalÃ¡pagos Islands),Least Concern,43.0,Group-based,1.0,,False
Blue-Ringed Octopus,,,,Carnivore,"Coral Reefs, Tide Pools",,Indo-Pacific region,Near Threatened,60.0,Solitary,,Indonesia,False
Blue-Ringed Octopus,,,,Carnivore,"Coral Reefs, Tide Pools",,Indo-Pacific region,Near Threatened,60.0,Solitary,,Philippines,False
Blue-Ringed Octopus,,,,Carnivore,"Coral Reefs, Tide Pools",,Indo-Pacific region,Near Threatened,60.0,Solitary,,Australia,False
Blue-Ringed Octopus,,,,Carnivore,"Coral Reefs, Tide Pools",,Indo-Pacific region,Near Threatened,60.0,Solitary,,Malaysia,False
Bonobo,,35.0,50.0,Omnivore,Rainforests,50.0,Democratic Republic of Congo,Endangered,225.0,Social groups,1.0,,True
Bornean Orangutan,123.0,56.0,40.0,Omnivore,Rainforests,52.0,Borneo,Critically Endangered,250.0,Solitary,1.0,,True
Bottlenose Dolphin,300.0,400.0,35.0,Carnivore,Oceans,37.0,Oceans worldwide,Least Concern,,Social pods,1.0,Global,False
Boxer Dog,58.0,28.5,11.0,Omnivore,Human Dwellings,64.0,Worldwide,Not Applicable,63.0,Social groups,5.5,Global,False
Brazilian Wandering Spider,,,1.5,Carnivore,Forests,,South and Central America,Not Evaluated,28.0,Solitary,,Brazil,False
Brazilian Wandering Spider,,,1.5,Carnivore,Forests,,South and Central America,Not Evaluated,28.0,Solitary,,Colombia,False
Brazilian Wandering Spider,,,1.5,Carnivore,Forests,,South and Central America,Not Evaluated,28.0,Solitary,,Peru,False
Brazilian Wandering Spider,,,1.5,Carnivore,Forests,,South and Central America,Not Evaluated,28.0,Solitary,,Panama,False
Brazilian Wandering Spider,,,1.5,Carnivore,Forests,,South and Central America,Not Evaluated,28.0,Solitary,,Costa Rica,False
Brown Bear,95.0,425.0,25.0,Omnivore,"Forests, Mountains",48.0,"North America, Europe, Asia",Least Concern,215.0,Solitary,2.5,,False
Burmese Python,,,22.5,Carnivore,"Grasslands, Forests",2.0,"Southeast Asia, South Asia, Indonesia",Least Concern,94.0,Solitary,55.0,,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Brazil,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Argentina,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Peru,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Colombia,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Chile,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Ecuador,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Venezuela,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Paraguay,False
Capybara,56.0,50.5,9.0,Herbivore,"Grasslands, Swamps",32.5,South America,Least Concern,150.0,Group-based,5.0,Bolivia,False
Cheetah,80.0,46.0,11.0,Carnivore,"Grasslands, Savannas",112.0,"Africa, Iran, India",Vulnerable,94.0,Solitary,4.0,,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Nigeria,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Ghana,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Cameroon,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Ivory Coast,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Senegal,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Chad,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Benin,True
Chimpanzee,,48.0,45.0,Omnivore,"Rainforests, Grasslands",40.0,Central and West Africa,Endangered,235.0,Social groups,1.0,Togo,True
Chinese Giant Salamander,,,,Carnivore,Freshwater,,China,Critically Endangered,55.0,Solitary,,,True
Clownfish,8.5,175.0,8.0,Omnivore,Coral Reefs,8.0,"Indian, Pacific Oceans",Not Evaluated,8.0,Group-based,,Indonesia,False
Clownfish,8.5,175.0,8.0,Omnivore,Coral Reefs,8.0,"Indian, Pacific Oceans",Not Evaluated,8.0,Group-based,,Malaysia,False
Clownfish,8.5,175.0,8.0,Omnivore,Coral Reefs,8.0,"Indian, Pacific Oceans",Not Evaluated,8.0,Group-based,,Philippines,False
Clownfish,8.5,175.0,8.0,Omnivore,Coral Reefs,8.0,"Indian, Pacific Oceans",Not Evaluated,8.0,Group-based,,Fiji,False
Clownfish,8.5,175.0,8.0,Omnivore,Coral Reefs,8.0,"Indian, Pacific Oceans",Not Evaluated,8.0,Group-based,,Papua New Guinea,False
Coelacanth,,,,Carnivore,"Deep-sea, Caves",1.6,Western Indian Ocean,Not Evaluated,,Solitary,,Seychelles,False
Coelacanth,,,,Carnivore,"Deep-sea, Caves",1.6,Western Indian Ocean,Not Evaluated,,Solitary,,Comoros,False
Coelacanth,,,,Carnivore,"Deep-sea, Caves",1.6,Western Indian Ocean,Not Evaluated,,Solitary,,Madagascar,False
Coelacanth,,,,Carnivore,"Deep-sea, Caves",1.6,Western Indian Ocean,Not Evaluated,,Solitary,,Mauritius,False
Common Dolphin,225.0,117.5,22.5,Carnivore,"Oceans, Coastal Areas",60.0,Worldwide,Least Concern,370.0,Group-based,1.0,Global,False
Common Snapping Turtle,28.0,10.25,40.0,Omnivore,Freshwater,,North America,Least Concern,60.0,Solitary,25.0,United States of America,False
Common Snapping Turtle,28.0,10.25,40.0,Omnivore,Freshwater,,North America,Least Concern,60.0,Solitary,25.0,Canada,False
Common Snapping Turtle,28.0,10.25,40.0,Omnivore,Freshwater,,North America,Least Concern,60.0,Solitary,25.0,Mexico,False
Coquerel's Sifaka,45.0,4.5,16.5,Herbivore,"Rainforests, Madagascar",37.5,Madagascar,Endangered,150.0,Group-based,1.0,,True
Dalmatian Dog,55.5,27.5,11.5,Omnivore,Worldwide,42.5,Worldwide,Not Applicable,63.0,Pack-based,7.5,Global,False
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,China,True
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,India,True
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,Japan,True
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,South Korea,True
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,Vietnam,True
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,Pakistan,True
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,Bangladesh,True
Dhole,52.5,16.5,12.5,Carnivore,"Forests, Grasslands",56.0,Asia,Endangered,61.5,Pack-based,6.0,Nepal,True
Dingo,53.0,16.5,12.5,Carnivore,"Grasslands, Forests",56.0,Australia,Least Concern,63.0,Group-based,5.5,,False
Dugong,,,75.0,Herbivore,"Coastal Waters, Seagrass",12.5,"Indian Ocean, Western Pacific",Vulnerable,,Solitary,1.0,Indonesia,True
Dugong,,,75.0,Herbivore,"Coastal Waters, Seagrass",12.5,"Indian Ocean, Western Pacific",Vulnerable,,Solitary,1.0,Malaysia,True
Dugong,,,75.0,Herbivore,"Coastal Waters, Seagrass",12.5,"Indian Ocean, Western Pacific",Vulnerable,,Solitary,1.0,Australia,True
Dugong,,,75.0,Herbivore,"Coastal Waters, Seagrass",12.5,"Indian Ocean, Western Pacific",Vulnerable,,Solitary,1.0,Papua New Guinea,True
Eastern Gorilla,164.0,138.5,45.0,Herbivore,Rainforests,40.0,Democratic Republic of Congo,Endangered,262.5,Social groups,1.0,,True
Echidna,37.5,4.5,17.5,Insectivore,"Forests, Grasslands",36.0,"Australia, New Guinea",Least Concern,25.0,Solitary,1.0,Australia,False
Echidna,37.5,4.5,17.5,Insectivore,"Forests, Grasslands",36.0,"Australia, New Guinea",Least Concern,25.0,Solitary,1.0,Papua New Guinea,False
Electric Eel,,,12.5,Carnivore,Amazon Basin,,Amazon Basin,Least Concern,,Solitary,,,False
Emperor Penguin,100.0,33.5,17.5,Carnivore,Antarctic,2.25,Antarctica,Near Threatened,64.0,Colony-based,1.0,French Southern and Antarctic Lands (Fr.),False
Emperor Tamarin,24.5,350.0,12.5,Omnivore,Rainforests,32.0,Amazon Rainforest,Least Concern,142.5,Group-based,1.5,Brazil,False
Emperor Tamarin,24.5,350.0,12.5,Omnivore,Rainforests,32.0,Amazon Rainforest,Least Concern,142.5,Group-based,1.5,Colombia,False
Emperor Tamarin,24.5,350.0,12.5,Omnivore,Rainforests,32.0,Amazon Rainforest,Least Concern,142.5,Group-based,1.5,Peru,False
Emperor Tamarin,24.5,350.0,12.5,Omnivore,Rainforests,32.0,Amazon Rainforest,Least Concern,142.5,Group-based,1.5,Ecuador,False
Emperor Tamarin,24.5,350.0,12.5,Omnivore,Rainforests,32.0,Amazon Rainforest,Least Concern,142.5,Group-based,1.5,Bolivia,False
European Hedgehog,22.0,0.8999999999999999,3.5,Omnivore,"Gardens, Grasslands",5.0,"Europe, Asia",Least Concern,35.0,Solitary,5.0,,False
Fennec Fox,30.0,1.2000000000000002,12.0,Omnivore,Sahara Desert,32.0,North Africa,Least Concern,51.0,Solitary,3.5,Egypt,False
Fennec Fox,30.0,1.2000000000000002,12.0,Omnivore,Sahara Desert,32.0,North Africa,Least Concern,51.0,Solitary,3.5,Morocco,False
Fennec Fox,30.0,1.2000000000000002,12.0,Omnivore,Sahara Desert,32.0,North Africa,Least Concern,51.0,Solitary,3.5,Algeria,False
Fennec Fox,30.0,1.2000000000000002,12.0,Omnivore,Sahara Desert,32.0,North Africa,Least Concern,51.0,Solitary,3.5,Tunisia,False
Fennec Fox,30.0,1.2000000000000002,12.0,Omnivore,Sahara Desert,32.0,North Africa,Least Concern,51.0,Solitary,3.5,Libya,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,France,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Germany,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Spain,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Italy,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Sweden,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Norway,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Poland,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Denmark,False
